Country,Metro Area,State,Population,lat,lng
US,Indianapolis, IN ,"2,174,833",39.777,-86.146
US,Kokomo, IN ,"84,082",40.464,-86.128
US,Lafayette, IN ,"229,701",30.208,-92.033
US,Michigan City, IN ,"111,348",41.709,-86.869
US,Muncie, IN ,"112,951",40.199,-85.395
US,Terre Haute, IN ,"168,874",39.466,-87.375
US,Lawrence, KS ,"121,989",38.960,-95.264
US,Manhattan, KS ,"134,892",40.783,-73.966
US,Topeka, KS ,"232,648",39.035,-95.696
US,Wichita, KS ,"661,217",37.690,-97.344
US,Louisville, KY,"1,394,234",38.166,-85.649
US,Paducah, KY,"102,395",37.071,-88.644
US,Bowling Green, KY ,"195,159",36.972,-86.438
US,Elizabethtown, KY ,"127,954",37.703,-85.877
US,Lexington, KY ,"533,366",38.042,-84.459
US,Owensboro, KY ,"113,583",37.758,-87.117
US,Alexandria, LA ,"148,008",38.819,-77.086
US,Baton Rouge, LA ,"882,652",30.442,-91.131
US,Hammond, LA ,"139,823",41.617,-87.491
US,Houma, LA ,"199,206",29.580,-90.706
US,Lafayette, LA ,"419,704",30.208,-92.033
US,Lake Charles, LA ,"242,975",30.201,-93.211
US,Monroe, LA ,"221,921",32.519,-92.077
US,New Orleans, LA ,"966,230",30.069,-89.929
US,Shreveport, LA ,"383,269",32.465,-93.796
US,Slidell, LA ,"277,615",30.289,-89.783
US,Boston, MA,"5,025,517",42.319,-71.085
US,Pittsfield, MA ,"128,726",42.452,-73.261
US,Springfield, MA ,"464,151",42.116,-72.540
US,Worcester, MA ,"881,248",42.271,-71.808
US,Hagerstown, MD,"311,295",39.640,-77.722
US,Baltimore, MD ,"2,859,024",39.305,-76.614
US,Lexington Park, MD ,"211,382",38.253,-76.442
US,Salisbury, MD ,"131,570",38.376,-75.587
US,Bangor, ME ,"156,840",44.832,-68.791
US,Lewiston, ME ,"115,272",44.092,-70.168
US,Portland, ME ,"571,534",45.537,-122.650
US,Ann Arbor, MI ,"373,875",42.276,-83.731
US,Battle Creek, MI ,"133,785",42.299,-85.230
US,Bay City, MI ,"102,651",43.590,-83.889
US,Detroit, MI ,"4,400,578",42.383,-83.102
US,Flint, MI ,"402,279",43.024,-83.692
US,Grand Rapids, MI ,"1,178,826",42.962,-85.656
US,Jackson, MI ,"160,233",32.316,-90.213
US,Kalamazoo, MI ,"264,780",42.275,-85.588
US,Lansing, MI ,"479,971",42.714,-84.560
US,Midland, MI ,"84,022",32.024,-102.115
US,Monroe, MI ,"156,045",32.519,-92.077
US,Muskegon, MI ,"177,428",43.228,-86.256
US,Niles, MI ,"152,703",42.028,-87.810
US,Saginaw, MI ,"187,714",43.420,-83.950
US,Traverse City, MI ,"156,634",44.755,-85.604
US,Duluth, MN,"281,815",46.776,-92.139
US,Minneapolis, MN,"3,757,952",44.964,-93.268
US,Mankato, MN ,"105,193",44.172,-93.977
US,Rochester, MN ,"230,742",43.168,-77.616
US,St. Cloud, MN ,"205,878",45.534,-94.172
US,Cape Girardeau, MO,"98,862",37.311,-89.560
US,Joplin, MO,"207,131",37.076,-94.502
US,Kansas City, MO,"2,253,579",39.124,-94.554
US,St. Joseph, MO,"119,124",39.760,-94.821
US,St. Louis, MO,"2,811,927",38.636,-90.245
US,Columbia, MO ,"219,426",34.038,-80.904
US,Jefferson City, MO ,"151,523",38.568,-92.176
US,Springfield, MO ,"496,975",42.116,-72.540
US,Gulfport, MS ,"426,793",30.427,-89.070
US,Hattiesburg, MS ,"156,575",31.307,-89.317
US,Jackson, MS ,"606,178",32.316,-90.213
US,Billings, MT ,"192,531",45.789,-108.553
US,Bozeman, MT ,"126,984",45.683,-111.056
US,Great Falls, MT ,"84,523",47.502,-111.300
US,Helena, MT ,"96,735",46.597,-112.020
US,Missoula, MT ,"127,741",46.875,-114.021
US,Charlotte, NC,"2,883,370",35.208,-80.830
US,Asheville, NC ,"422,333",35.571,-82.554
US,Burlington, NC ,"183,040",36.076,-79.469
US,Durham, NC ,"620,522",35.979,-78.902
US,Fayetteville, NC ,"393,812",36.071,-94.166
US,Goldsboro, NC ,"120,338",35.378,-77.972
US,Greensboro, NC ,"800,722",36.096,-79.827
US,Greenville, NC ,"180,783",34.835,-82.365
US,Hickory, NC ,"373,031",35.741,-81.322
US,Jacksonville, NC ,"212,954",30.332,-81.675
US,Pinehurst, NC ,"108,417",35.192,-79.468
US,Raleigh, NC ,"1,562,009",35.832,-78.643
US,Rocky Mount, NC ,"147,114",35.969,-77.804
US,Wilmington, NC ,"480,522",34.210,-77.887
US,Winston, NC ,"705,187",43.120,-123.425
US,Fargo, ND,"267,793",46.865,-96.829
US,Grand Forks, ND,"104,184",47.921,-97.088
US,Bismarck, ND ,"139,183",46.814,-100.769
US,Minot, ND ,"75,938",48.238,-101.278
US,Omaha, NE,"1,001,010",41.263,-96.053
US,Grand Island, NE ,"77,278",40.922,-98.359
US,Lincoln, NE ,"350,626",40.810,-96.678
US,Manchester, NH ,"430,462",42.985,-71.445
US,Atlantic City, NJ ,"372,989",39.380,-74.453
US,Trenton, NJ ,"392,138",40.224,-74.764
US,Vineland, NJ ,"155,678",39.465,-74.998
US,Albuquerque, NM ,"926,303",35.105,-106.647
US,Farmington, NM ,"120,817",36.756,-108.182
US,Las Cruces, NM ,"229,366",32.327,-106.789
US,Santa Fe, NM ,"157,765",35.662,-105.982
US,Carson City, NV ,"58,148",39.151,-119.748
US,Las Vegas, NV ,"2,398,871",36.233,-115.265
US,Reno, NV ,"575,110",39.550,-119.848
US,New York, NY,"19,940,274",40.694,-73.925
US,New York, NY,"12,172,495",40.694,-73.925
US,Albany, NY ,"913,485",42.666,-73.799
US,Binghamton, NY ,"243,971",42.101,-75.909
US,Buffalo, NY ,"1,160,172",42.902,-78.849
US,Elmira, NY ,"81,115",42.094,-76.810
US,Glens Falls, NY ,"125,127",43.311,-73.646
US,Ithaca, NY ,"105,602",42.444,-76.503
US,Kingston, NY ,"182,977",41.930,-73.997
US,Kiryas Joel, NY ,"711,730",41.341,-74.167
US,Rochester, NY ,"1,057,218",43.168,-77.616
US,Syracuse, NY ,"655,189",43.041,-76.144
US,Utica, NY ,"287,932",43.096,-75.226
US,Watertown, NY ,"113,140",43.973,-75.909
US,Cincinnati, OH,"2,302,815",39.141,-84.506
US,Akron, OH ,"702,209",41.080,-81.522
US,Canton, OH ,"400,551",40.808,-81.368
US,Cleveland, OH ,"2,171,877",41.476,-81.681
US,Columbus, OH ,"2,225,377",39.986,-82.986
US,Dayton, OH ,"821,740",39.781,-84.200
US,Lima, OH ,"100,866",40.741,-84.112
US,Mansfield, OH ,"124,853",40.766,-82.528
US,Sandusky, OH ,"113,533",41.447,-82.702
US,Springfield, OH ,"134,985",42.116,-72.540
US,Toledo, OH ,"601,396",41.664,-83.583
US,Youngstown, OH ,"426,086",41.099,-80.646
US,Enid, OK ,"62,007",36.406,-97.870
US,Lawton, OK ,"126,899",34.618,-98.420
US,Oklahoma City, OK ,"1,497,821",35.468,-97.514
US,Tulsa, OK ,"1,059,803",36.128,-95.904
US,Portland, OR,"2,537,904",45.537,-122.650
US,Albany, OR ,"132,474",42.666,-73.799
US,Bend, OR ,"264,407",44.056,-121.310
US,Corvallis, OR ,"98,899",44.570,-123.278
US,Eugene, OR ,"382,396",44.056,-123.117
US,Grants Pass, OR ,"88,276",42.433,-123.332
US,Medford, OR ,"221,331",42.337,-122.854
US,Salem, OR ,"443,416",44.923,-123.024
US,Allentown, PA,"886,418",40.596,-75.476
US,Philadelphia, PA,"6,330,422",40.008,-75.134
US,Altoona, PA ,"120,269",40.508,-78.401
US,Chambersburg, PA ,"159,285",39.932,-77.656
US,Erie, PA ,"267,750",42.117,-80.073
US,Gettysburg, PA ,"107,914",39.830,-77.234
US,Harrisburg, PA ,"615,361",40.275,-76.884
US,Johnstown, PA ,"130,108",40.326,-78.919
US,Lancaster, PA ,"563,293",40.042,-76.301
US,Lebanon, PA ,"145,319",40.341,-76.423
US,Pittsburgh, PA ,"2,429,917",40.440,-79.976
US,Reading, PA ,"439,117",40.340,-75.927
US,Scranton, PA ,"574,009",41.404,-75.665
US,State College, PA ,"159,805",40.791,-77.857
US,Williamsport, PA ,"113,236",41.240,-77.037
US,York, PA ,"471,240",39.965,-76.732
US,Providence, RI,"1,700,901",41.823,-71.419
US,Charleston, SC ,"869,940",32.817,-79.969
US,Columbia, SC ,"870,193",34.038,-80.904
US,Florence, SC ,"200,474",34.178,-79.790
US,Greenville, SC ,"996,680",34.835,-82.365
US,Hilton Head Island, SC ,"237,393",32.190,-80.750
US,Myrtle Beach, SC ,"413,391",33.709,-78.884
US,Spartanburg, SC ,"395,934",34.944,-81.925
US,Sumter, SC ,"104,776",33.939,-80.393
US,Sioux Falls, SD,"308,266",43.540,-96.731
US,Rapid City, SD ,"156,227",44.072,-103.220
US,Chattanooga, TN,"588,050",35.066,-85.248
